Type1_IFN,INF_gamma,Interluekin_1,Interleukin_4/13,NF-kB,TNF-a,PI3K,Apoptosis,T-regulatory,TGF-B,Th17,Interleukin6_JAK_STAT3
IFI27,STAT1,CCL2,GATA3,IGHG4,C3,ACACA,AIFM1,RBMS3,ACVR1,CXCL3,A2M
IFI44L,CXCL9,CCL20,GIMAP4,IGHG3,CCL4,ACTR2,AKT1,ICA1,ACVR1C,IL22,ACVR1B
IFIT1,CXCL10,IL1A,IL24,APOC3,CD83,ACTR3,AKT2,STAM,ACVR2A,IL3,ACVRL1
ISG15,HLA-DRA,IL1B,LTB,TNFRSF6,IRAK2,ADCY2,AKT3,IKZF2,ACVR2B,CCL4,BAK1
RSAD2,GZMA,IL6,SOCS1,CD3G,NFKB2,AKT1,APAF1,FOXP3,ACVRL1,GZMB,CBL
SIGLEC1,PRF1,LILRB1,SPINT2,TNFSF5,NFKBIA,AKT1S1,ATM,LRRC32,AMH,LMP,CCL7
,IDO1,NFKB1,,CD105,RELBSOCS3,AP2M1,BAD,METTL7A,AMHR2,CCL5,CCR1
,CXCL11,NFKBIZ,,ICAM1,SRC,ARF1,BAX,ZNF532,BMP2,CASP1,CD14
,CCR5,POU2F2,,TPMT,TNIFAIP3,ARHGDIA,BCL2,VAV3,BMP4,CSF2,CD36
,IFNG,,,IL2RA,,ARPC3,BCL2L1,ECOP,BMP5,CCL3,CD38
,,,,SELE,,ATF1,BID,TRIB1,BMP6,TBX21,CD44
,,,,TP53,,CAB39,BIRC2,CSF2RB,BMP7,ICOS,CD9
,,,,CRP,,CAB39L,BIRC3,HPGD,BMP8A,IL17R,CNTFR
,,,,IL1A,,CALR,CAPN1,TMEM23,BMP8B,STAT4,CRLF2
,,,,IL1B,,CAMK4,CAPN2,CTLA4,BMPR1A,LGALS3,CSF1
,,,,IL1RN,,CDK1,CASP10,ZBTB38,BMPR1B,LAG3,CSF2
,,,,CCR5,,CDK2,CASP3,TNFRSF1B,BMPR2,,CSF2RA
,,,,IL8,,CDK4,CASP6,IL1R1,CDKN2B,,CSF2RB
,,,,IL2,,CDKN1A,CASP7,IL1R2,CHRD,,CSF3R
,,,,IL9,,CDKN1B,CASP8,IL1RN,COMP,,CXCL1
,,,,TAP1,,CFL1,CASP9,C8ORF70,CREBBP,,CXCL10
,,,,TNF,,CLTC,CFLAR,,CUL1,,CXCL11
,,,,LTA,,CSNK2B,CHP1,,DCN,,CXCL13
,,,,IL6,,CXCR4,CHP2,,E2F4,,CXCL3
,,,,CD44,,DAPP1,CHUK,,E2F5,,CXCL9
,,,,NOS2A,,DDIT3,CSF2RB,,EP300,,DNTT
,,,,SOD2,,DUSP3,CYCS,,FST,,EBI3
,,,,TNFSF6,,E2F1,DFFA,,GDF5,,FAS
,,,,IL11,,ECSIT,DFFB,,GDF6,,GRB2
,,,,BDKRB1,,EGFR,ENDOD1,,GDF7,,HAX1
,,,,CSF1,,EIF4E,ENDOG,,ID1,,HMOX1
,,,,CSF2,,FASLG,EXOG,,ID2,,IFNAR1
,,,,CSF3,,FGF17,FADD,,ID3,,IFNGR1
,,,,GSTP1,,FGF22,FAS,,ID4,,IFNGR2
,,,,NQO1,,FGF6,FASLG,,IFNG,,IL10RB
,,,,OPRM1,,GNA14,IKBKB,,INHBA,,IL12RB1
,,,,PTAFR,,GNGT1,IKBKG,,INHBB,,IL13RA1
,,,,PTGS2,,GRB2,IL1A,,INHBC,,IL15RA
,,,,SCNN1A,,GRK2,IL1B,,INHBE,,IL17RA
,,,,VCAM1,,GSK3B,IL1R1,,LEFTY1,,IL17RB
,,,,AGER,,HRAS,IL1RAP,,LEFTY2,,IL18R1
,,,,ALOX12B,,HSP90B1,IL3,,LTBP1,,IL1B
,,,,BCL2L1,,IL2RG,IL3RA,,MAPK1,,IL1R1
,,,,TNFRSF5,,IL4,IRAK1,,MAPK3,,IL1R2
,,,,TNFRSF9,,IRAK4,IRAK2,,MYC,,IL2RA
,,,,IRF7,,ITPR2,IRAK3,,NODAL,,IL2RG
,,,,BLR1,,LCK,IRAK4,,NOG,,IL3RA
,,,,CD48,,MAP2K3,MAP3K14,,PITX2,,IL4R
,,,,CD69,,MAP2K6,MYD88,,PPP2CA,,IL6
,,,,CCR7,,MAP3K7,NFKB1,,PPP2CB,,IL6ST
,,,,CR2,,MAPK1,NFKBIA,,PPP2R1A,,IL7
,,,,F3,,MAPK10,NGF,,PPP2R1B,,IL9R
,,,,HMOX1,,MAPK8,NTRK1,,RBL1,,INHBE
,,,,TNC,,MAPK9,PIK3CA,,RBL2,,IRF1
,,,,IFNB1,,MAPKAP1,PIK3CB,,RBX1,,IRF9
,,,,IL13,,MKNK1,PIK3CD,,RHOA,,ITGA4
,,,,IL15RA,,MKNK2,PIK3CG,,ROCK1,,ITGB3
,,,,IRF1,,MYD88,PIK3R1,,ROCK2,,JUN
,,,,IRF2,,NCK1,PIK3R2,,RPS6KB1,,LEPR
,,,,LTB,,NFKBIB,PIK3R3,,RPS6KB2,,LTB
,,,,IRF4,,NGF,PIK3R5,,SKP1,,LTBR
,,,,MYC,,NOD1,PPP3CA,,SKP1P2,,MAP3K8
,,,,NFKB2,,PAK4,PPP3CB,,SMAD1,,MYD88
,,,,PDGFB,,PDK1,PPP3CC,,SMAD2,,OSMR
,,,,PLAU,,PFN1,PPP3R1,,SMAD3,,PDGFC
,,,,LMP2,,PIK3R3,PPP3R2,,SMAD4,,PF4
,,,,PTX3,,PIKFYVE,PRKACA,,SMAD5,,PIK3R5
,,,,CCL2,,PIN1,PRKACB,,SMAD6,,PIM1
,,,,CCL5,,PITX2,PRKACG,,SMAD7,,PLA2G2A
,,,,CCL11,,PLA2G12A,PRKAR1A,,SMAD9,,PTPN1
,,,,CXCL5,,PLCB1,PRKAR1B,,SMURF1,,PTPN11
,,,,SELP,,PLCG1,PRKAR2A,,SMURF2,,PTPN2
,,,,SLC2A5,,PPP1CA,PRKAR2B,,SP1,,REG1A
,,,,STAT5A,,PPP2R1B,PRKX,,TFDP1,,SOCS1
,,,,VIM,,PRKAA2,RELA,,TGFB1,,SOCS3
,,,,IER3,,PRKAG1,RIPK1,,TGFB2,,STAM2
,,,,NFKB1,,PRKAR2A,TNF,,TGFB3,,STAT1
,,,,BM2,,PRKCB,TNFRSF10A,,TGFBR1,,STAT2
,,,,BCL2A1,,PTEN,TNFRSF10B,,TGFBR2,,STAT3
,,,,CCL15,,PTPN11,TNFRSF10C,,THBS1,,TGFB1
,,,,CD83,,RAC1,TNFRSF10D,,THBS2,,TLR2
,,,,CD74,,RAF1,TNFRSF1A,,THBS3,,TNF
,,,,ELF3,,RALB,TNFSF10,,THBS4,,TNFRSF12A
,,,,TGM2,,RIPK1,TP53,,TNF,,TNFRSF1A
,,,,DEFB4,,RIT1,TRADD,,ZFYVE16,,TNFRSF1B
,,,,MMP9,,RPS6KA1,TRAF2,,ZFYVE9,,TNFRSF21
,,,,BCL3,,RPS6KA3,XIAP,,,,TYK2
,,,,CD80,,RPTOR,,,,,
,,,,VEGF C,,SFN,,,,,
,,,,PLCD1,,SLA,,,,,
,,,,TNFAIP3,,SLC2A1,,,,,
,,,,RELB,,SMAD2,,,,,
,,,,TFPI2,,SQSTM1,,,,,
,,,,BCL2,,STAT2,,,,,
,,,,S100A6,,TBK1,,,,,
,,,,TACR1,,THEM4,,,,,
,,,,NFKBIA,,TIAM1,,,,,
,,,,CD209,,TNFRSF1A,,,,,
,,,,CARD15,,TRAF2,,,,,
,,,,CCND1,,TRIB3,,,,,
,,,,KLK3,,TSC2,,,,,
,,,,IL15,,UBE2D3,,,,,
,,,,NR4A2,,UBE2N,,,,,
,,,,HC3,,VAV3,,,,,
,,,,,,YWHAB,,,,,